Accession,Group,Representative,Host,Species,Clade,Strain,Location,Author,Reference,Pubmed,Gene,Date
"AY257118","Group 064","IN TREE","Free-living","cf. Enteromorpha sp. 'Dublin Bay'",""," "," ","McManus","Limnol. Oceanogr. 49, 308-313 (2004)"," ","rbcL","131021"
"AY257119","UNIQUE","IN TREE","Free-living","cf. Enteromorpha sp. 'Dublin Bay'",""," "," ","McManus","Limnol. Oceanogr. 49, 308-313 (2004)"," ","rbcL","131021"
"AY257120","UNIQUE","IN TREE","Free-living","cf. Enteromorpha sp. 'Dublin Bay'",""," "," ","McManus","Limnol. Oceanogr. 49, 308-313 (2004)"," ","rbcL","131021"
"AY257122","UNIQUE","IN TREE","Free-living","cf. Enteromorpha sp. 'Galway Bay'",""," "," ","McManus","Limnol. Oceanogr. 49, 308-313 (2004)"," ","rbcL","131021"
"AY257123","UNIQUE","IN TREE","Free-living","cf. Enteromorpha sp. 'Galway Bay'",""," "," ","McManus","Limnol. Oceanogr. 49, 308-313 (2004)"," ","rbcL","131021"
"AY257124","UNIQUE","IN TREE","Free-living","Strombidium rassoulzadegani",""," "," ","McManus","Limnol. Oceanogr. 49, 308-313 (2004)"," ","rbcL","131021"
"AY422542","UNIQUE","IN TREE","Free-living","Ulva lactuca",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422543","Group 092","IN TREE","Free-living","Ulva lactuca",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422544","Group 092","REDUNDANT","Free-living","Ulva lactuca","","UWCC MA717"," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422545","UNIQUE","IN TREE","Free-living","Ulva lactuca",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422546","UNIQUE","IN TREE","Free-living","Ulva lactuca",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422547","UNIQUE","IN TREE","Free-living","Ulva pertusa","","UWCC MA719"," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422548","UNIQUE","IN TREE","Free-living","Ulva pertusa","","UWCC MA720"," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422549","Group 022","REDUNDANT","Free-living","Ulva pertusa",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422550","UNIQUE","IN TREE","Free-living","Ulva lobata",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422551","Group 132","REDUNDANT","Free-living","Ulva intestinalis",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422552","UNIQUE","IN TREE","Free-living","Ulva intestinalis",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422553","Group 069","REDUNDANT","Free-living","Ulva pseudocurvata",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422554","UNIQUE","IN TREE","Free-living","Ulva prolifera",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422555","Group 018","REDUNDANT","Free-living","Ulva californica","","UWCC MA713"," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422556","UNIQUE","IN TREE","Free-living","Ulva californica",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422557","Group 018","REDUNDANT","Free-living","Ulva californica","","UWCC MA714"," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422558","UNIQUE","IN TREE","Free-living","Ulva californica",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422559","Group 018","REDUNDANT","Free-living","Ulva californica",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422560","Group 018","REDUNDANT","Free-living","Ulva californica",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422561","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422562","Group 383","IN TREE","Free-living","Ulva procera",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422563","Group 055","REDUNDANT","Free-living","Ulva muscoides",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422564","UNIQUE","IN TREE","Free-living","Ulva rigida",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422565","Group 042","REDUNDANT","Free-living","Ulva fasciata",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422566","UNIQUE","IN TREE","Free-living","Ulva taeniata","","UWCC MA723"," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422567","UNIQUE","IN TREE","Free-living","Ulva taeniata",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY422568","UNIQUE","IN TREE","Free-living","Ulva reticulata",""," "," ","Hayden","Unpublished"," ","rbcL","131021"
"AY543047","Group 024","REDUNDANT","Free-living","Meyerella planktonica",""," "," ","Fawley","Phycologia 44, 35-48 (2005)"," ","rbcL","131021"
"AY543048","Group 024","REDUNDANT","Free-living","Meyerella planktonica",""," "," ","Fawley","Phycologia 44, 35-48 (2005)"," ","rbcL","131021"
"AY543049","Group 024","REDUNDANT","Free-living","Meyerella planktonica",""," "," ","Fawley","Phycologia 44, 35-48 (2005)"," ","rbcL","131021"
"AY543050","Group 024","IN TREE","Free-living","Meyerella planktonica",""," "," ","Fawley","Phycologia 44, 35-48 (2005)"," ","rbcL","131021"
"AY543053","Group 026","REDUNDANT","Free-living","Choricystis sp.",""," "," ","Fawley","Unpublished"," ","rbcL","131021"
"AY543055","Group 014","REDUNDANT","Free-living","Choricystis sp.",""," "," ","Fawley","Unpublished"," ","rbcL","131021"
"AY543059","UNIQUE","IN TREE","Free-living","Choricystis sp.",""," "," ","Fawley","Unpublished"," ","rbcL","131021"
"AY543060","UNIQUE","IN TREE","Free-living","Choricystis sp.",""," "," ","Fawley","Unpublished"," ","rbcL","131021"
"AY543061","Group 026","REDUNDANT","Free-living","Choricystis sp.",""," "," ","Fawley","Unpublished"," ","rbcL","131021"
"AY543067","Group 028","REDUNDANT","Free-living","Mychonastes sp.",""," "," ","Fawley","Unpublished"," ","rbcL","131021"
"AY543068","Group 028","IN TREE","Free-living","Mychonastes sp.",""," "," ","Fawley","Unpublished"," ","rbcL","131021"
"AY543069","Group 028","REDUNDANT","Free-living","Mychonastes sp.",""," "," ","Fawley","Unpublished"," ","rbcL","131021"
"AY694191","Group 076","REDUNDANT","Free-living","Prasiola meridionalis",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694192","UNIQUE","IN TREE","Free-living","Prasiola stipitata",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694193","UNIQUE","IN TREE","Free-living","Prasiola calophylla",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694194","UNIQUE","IN TREE","Free-living","Prasiola calophylla",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694195","UNIQUE","IN TREE","Free-living","Prasiola crispa",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694196","Group 749","IN TREE","Free-living","Prasiola crispa",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694198","UNIQUE","IN TREE","Free-living","Rosenvingiella radicans",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694199","Group 061","IN TREE","Free-living","Rosenvingiella radicans",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694200","UNIQUE","IN TREE","Free-living","Rosenvingiella radicans",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694201","UNIQUE","IN TREE","Free-living","Rosenvingiella radicans",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694202","UNIQUE","IN TREE","Free-living","Rosenvingiella radicans",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694203","Group 061","REDUNDANT","Free-living","Rosenvingiella radicans",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694204","UNIQUE","IN TREE","Free-living","Rosenvingiella radicans",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694205","UNIQUE","IN TREE","Free-living","Rosenvingiella polyrhiza",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY694206","Group 067","IN TREE","Free-living","Rosenvingiella polyrhiza",""," "," ","Rindi","J. Phycol. 40 (5), 977-997 (2004)"," ","rbcL","131021"
"AY822046","Group 718","IN TREE","Free-living","Choricystis sp.",""," "," ","Vollmer","Unpublished"," ","rbcL","131021"
"AY882012","UNIQUE","IN TREE","Free-living","Dunaliella tertiolecta",""," "," ","Walker","J. Appl. Phycol. 17 (6), 495-508 (2005)"," ","rbcL","131021"
"AY902213","Group 026","IN TREE","Free-living","Choricystis sp.","","Mary6/3D-11w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902214","Group 447","IN TREE","Free-living","Choricystis sp.","","NDem2/24P-1w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902218","UNIQUE","IN TREE","Free-living","Choricystis sp.","","Pic6/3P-3w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902219","UNIQUE","IN TREE","Free-living","Choricystis sp.","","Pic8/18P-11w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902220","UNIQUE","IN TREE","Free-living","Choricystis sp.","","Pic8/18P-19w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902221","Group 014","REDUNDANT","Free-living","Choricystis sp.","","Pic9/21P-4w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902223","Group 014","IN TREE","Free-living","Choricystis sp.","","Tow6/3P-18w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902225","UNIQUE","IN TREE","Free-living","Choricystis sp.","","Tow8/18P-11w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902226","Group 447","REDUNDANT","Free-living","Choricystis sp.","","Tow8/18P-14d"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902227","Group 443","REDUNDANT","Free-living","Choricystis sp.","","Tow8/18P-5d"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902228","Group 014","REDUNDANT","Free-living","Choricystis sp.","","Tow9/21P-17w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902229","Group 014","REDUNDANT","Free-living","Choricystis sp.",""," "," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902230","Group 026","REDUNDANT","Free-living","Choricystis sp.","","WTwin8/18P11w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902232","Group 443","IN TREE","Free-living","Choricystis sp.","","WTwin9/21P-2w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902233","UNIQUE","IN TREE","Free-living","Choricystis sp.","","WTwin9/21P-3w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902234","Group 026","REDUNDANT","Free-living","Choricystis sp.","","WTwin9/21P-4w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY902235","Group 014","REDUNDANT","Free-living","Choricystis sp.","","WTwin9/21P-7w"," ","Fawley","Unpublished"," ","rbcL","131021"
"AY942165","UNIQUE","IN TREE","Free-living","Bryopsis pennatula",""," "," ","Lam","J. Phycol. 42 (3), 669-678 (2006)"," ","rbcL","131021"
"AY942169","UNIQUE","IN TREE","Free-living","Bryopsis hypnoides",""," "," ","Lam","J. Phycol. 42 (3), 669-678 (2006)"," ","rbcL","131021"
"BK000554","Group 098","IN TREE","Free-living","Chlamydomonas reinhardtii",""," "," ","Maul","Plant Cell 14 (11), 2659-2679 (2002)","12417694","rbcL","131021"
"D10997","Group 038","IN TREE","Free-living","Chlorella vulgaris","","C-27"," ","Yoshinaga","Plant Mol. Biol. 10, 245-250 (1988)"," ","rbcL","131021"
"D63428","UNIQUE","IN TREE","Free-living","Astrephomene gubernaculifera","","NIES-418"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63430","UNIQUE","IN TREE","Free-living","Basichlamys sacculifera","","NIES-566"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63431","UNIQUE","IN TREE","Free-living","Carteria crucifera","","NIES-421"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63432","UNIQUE","IN TREE","Free-living","Eudorina elegans","","NIES-456"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63433","Group 094","REDUNDANT","Free-living","Eudorina illinoisensis","","NIES-460"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63434","UNIQUE","IN TREE","Free-living","Eudorina unicocca","","UTEX1215"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63435","UNIQUE","IN TREE","Free-living","Gonium multicoccum","","UTEX 2580"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63438","UNIQUE","IN TREE","Free-living","Gonium quadratum","","NIES-653"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63439","UNIQUE","IN TREE","Free-living","Pleodorina californica","","UTEX 809"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63440","UNIQUE","IN TREE","Free-living","Pleodorina japonica","","UTEX 2523"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63441","UNIQUE","IN TREE","Free-living","Pandorina colemaniae","","NIES-572"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63442","UNIQUE","IN TREE","Free-living","Pandorina morum","","NIES-574"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63443","Group 072","REDUNDANT","Free-living","Tetrabaena socialis","","NIES-571"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63444","UNIQUE","IN TREE","Free-living","Volvulina pringsheimii","","UTEX1020"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63445","UNIQUE","IN TREE","Free-living","Volvox aureus","","NIES-541"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63446","UNIQUE","IN TREE","Free-living","Volvox carteri","","NIES-732"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63447","UNIQUE","IN TREE","Free-living","Volvox dissipatrix","","UTEX 2184"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D63448","UNIQUE","IN TREE","Free-living","Volvox rousseletii","","UTEX 1862"," ","Nozaki","J. Phycol. 31, 970-979 (1995)"," ","rbcL","131021"
"D86822","UNIQUE","IN TREE","Yamagishiella ","Pandorina unicocca","","UTEX2031"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86823","Group 057","IN TREE","Yamagishiella ","Pandorina unicocca","","UTEX2428"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86824","UNIQUE","IN TREE","Yamagishiella ","Pandorina unicocca","","UTEX2127"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86826","UNIQUE","IN TREE","Free-living","Pandorina unicocca","","UTEX840"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86827","Group 079","IN TREE","Free-living","Platydorina caudata","","UTEX1661"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86828","Group 079","REDUNDANT","Free-living","Platydorina caudata","","UTEX1658"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86829","UNIQUE","IN TREE","Free-living","Eudorina unicocca","","UTEX737"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86830","Group 084","IN TREE","Free-living","Eudorina peripheralis","","UTEX1218"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86831","UNIQUE","IN TREE","Free-living","Gonium viridistellatum","","UTEX2519"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86832","UNIQUE","IN TREE","Free-living","Volvulina compacta","","NIES-582"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86833","UNIQUE","IN TREE","Free-living","Eudorina cylindrica","","UTEX1197"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86834","UNIQUE","IN TREE","Free-living","Pleodorina indica","","UTEX1990"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86835","Group 082","REDUNDANT","Free-living","Volvox barberi","","UTEX804"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D86836","UNIQUE","IN TREE","Free-living","Volvox globator","","UTEX955"," ","Nozaki","J. Phycol. 33, 272-278 (1997)"," ","rbcL","131021"
"D88803","Group 094","IN TREE","Free-living","Eudorina elegans","","UTEX1193"," ","Nozaki","J. Phycol. 33, 859-863 (1997)"," ","rbcL","131021"
"D88804","UNIQUE","IN TREE","Free-living","Eudorina elegans","","UTEX1199"," ","Nozaki","J. Phycol. 33, 859-863 (1997)"," ","rbcL","131021"
"D88805","UNIQUE","IN TREE","Free-living","Eudorina elegans","","UTEX1205"," ","Nozaki","J. Phycol. 33, 859-863 (1997)"," ","rbcL","131021"
"D88806","UNIQUE","IN TREE","Free-living","Eudorina elegans","","UTEX1212"," ","Nozaki","J. Phycol. 33, 859-863 (1997)"," ","rbcL","131021"
"D88807","UNIQUE","IN TREE","Free-living","Eudorina elegans","","NIES-458"," ","Nozaki","J. Phycol. 33, 859-863 (1997)"," ","rbcL","131021"
"D88808","UNIQUE","IN TREE","Free-living","Eudorina elegans","","NIES-568"," ","Nozaki","J. Phycol. 33, 859-863 (1997)"," ","rbcL","131021"
"D88809","UNIQUE","IN TREE","Free-living","Eudorina illinoisensis","","UTEX 808"," ","Nozaki","J. Phycol. 33, 859-863 (1997)"," ","rbcL","131021"
"D88810","UNIQUE","IN TREE","Free-living","Eudorina elegans","","UTEX1195"," ","Nozaki","J. Phycol. 33, 859-863 (1997)"," ","rbcL","131021"
"D89758","UNIQUE","IN TREE","Free-living","Carteria crucifera","","UTEX432"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89759","UNIQUE","IN TREE","Free-living","Carteria eugametos","","UTEX233"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89760","Group 017","IN TREE","Free-living","Carteria eugametos","","UTEX1032"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89761","Group 017","REDUNDANT","Free-living","Carteria eugametos","","UTEX2161"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89762","Group 017","REDUNDANT","Free-living","Carteria eugametos","","NIES-631"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89763","Group 017","REDUNDANT","Free-living","Carteria eugametos","","NIES-632"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89764","Group 017","REDUNDANT","Free-living","Carteria eugametos","","NIES-633"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89765","UNIQUE","IN TREE","Free-living","Carteria inversa","","NIES-422"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89766","UNIQUE","IN TREE","Free-living","Carteria inversa","","NIES-423"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89767","Group 073","REDUNDANT","Free-living","Carteria cerasiformis","","NIES-424"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89768","Group 073","IN TREE","Free-living","Carteria cerasiformis","","NIES-425"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"D89769","UNIQUE","IN TREE","Free-living","Carteria obtusa","","NIES-428"," ","Nozaki","J. Phycol. 33, 864-867 (1997)"," ","rbcL","131021"
"DQ173083","UNIQUE","IN TREE","Free-living","Dunaliella salina","","OUC21"," ","Meng","Unpublished"," ","rbcL","131021"
"DQ173084","UNIQUE","IN TREE","Free-living","Dunaliella salina","","OUC36"," ","Meng","Unpublished"," ","rbcL","131021"
"DQ173085","UNIQUE","IN TREE","Free-living","Dunaliella salina","","OUC38"," ","Meng","Unpublished"," ","rbcL","131021"
"DQ173086","Group 058","IN TREE","Free-living","Dunaliella salina","","OUC66"," ","Meng","Unpublished"," ","rbcL","131021"
"DQ173087","UNIQUE","IN TREE","Free-living","Dunaliella salina","","Inner-mongolia"," ","Meng","Unpublished"," ","rbcL","131021"
"DQ173088","Group 058","REDUNDANT","Free-living","Dunaliella salina","","Israel"," ","Meng","Unpublished"," ","rbcL","131021"
"DQ173089","UNIQUE","IN TREE","Free-living","Dunaliella bardawil",""," "," ","Meng","Unpublished"," ","rbcL","131021"
"DQ173090","UNIQUE","IN TREE","Free-living","Dunaliella primolecta",""," "," ","Meng","Unpublished"," ","rbcL","131021"
"DQ173091","UNIQUE","IN TREE","Free-living","Dunaliella parva",""," "," ","Meng","Unpublished"," ","rbcL","131021"
"DQ173092","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","hd10"," ","Meng","Unpublished"," ","rbcL","131021"
"DQ196177","UNIQUE","IN TREE","Free-living","Chlamydomonas raudensis",""," "," ","Gudynaite-Savitch","Thesis (2004) University of Western Ontario, London, Ontario, Canada"," ","rbcL","131021"
"DQ219818","UNIQUE","IN TREE","Free-living","Choricystis parasitica","","SAG 251.1"," ","Fawley","Unpublished"," ","rbcL","131021"
"DQ291132","UNIQUE","IN TREE","Free-living","Oltmannsiellopsis viridis",""," "," ","Pombert","BMC Biol. 4, 3 (2006)","16472375","rbcL","131021"
"DQ313193","UNIQUE","IN TREE","Free-living","Chlorosarcinopsis gelatinosa","","CCMP 1511"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313194","UNIQUE","IN TREE","Free-living","Dunaliella bardawil","","UTEX 2538"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313195","Group 009","REDUNDANT","Free-living","Dunaliella bioculata","","UTEX 199"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313198","Group 009","REDUNDANT","Free-living","Dunaliella primolecta","","UTEX 1000"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313199","Group 009","IN TREE","Free-living","Dunaliella sp.","","CCMP 1923"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313200","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","CCMP 220"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313201","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","CCMP 367"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313202","Group 016","REDUNDANT","Free-living","Dunaliella sp.","","SPMO 980625-1E"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313203","Group 009","REDUNDANT","Free-living","Dunaliella tertiolecta","","UTEX 999"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313204","Group 009","REDUNDANT","Free-living","Dunaliella tertiolecta","","CCMP 364"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313205","Group 009","REDUNDANT","Free-living","Dunaliella tertiolecta","","CCMP 1302"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313207","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","FL1"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313208","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","SPMO 109-1"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313209","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","SPMO 112-1"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313210","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","SPMO 112-3"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313211","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","SPMO 200-2"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313212","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","SPMO 200-8"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313213","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","SPMO 201-5"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313214","Group 016","IN TREE","Free-living","Dunaliella sp.","","SPMO 202-4"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313216","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","SPMO 300-4"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313217","Group 016","REDUNDANT","Free-living","Dunaliella sp.","","SPMO 300-5"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313218","Group 016","REDUNDANT","Free-living","Dunaliella sp.","","SPMO 600-1"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313219","UNIQUE","IN TREE","Free-living","Dunaliella sp.","","SPMO 601-1"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ313220","Group 016","REDUNDANT","Free-living","Dunaliella sp.","","SPMO BP3"," ","Buchheim","Unpublished"," ","rbcL","131021"
"DQ396875","UNIQUE","IN TREE","Free-living","Acutodesmus obliquus","","UTEX 393"," ","Turmel","Nucleic Acids Res. 25 (13), 2610-2619 (1997)","9185572","rbcL","131021"
"DQ481204","UNIQUE","IN TREE","Free-living","Oedogonium nodulosum","","L1"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481205","Group 109","IN TREE","Free-living","Oedogonium subplagiostomum","","L2"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481206","UNIQUE","IN TREE","Free-living","Oedogonium sp.","","L3"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481207","UNIQUE","IN TREE","Free-living","Oedogonium sp.","","L4"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481208","Group 110","REDUNDANT","Free-living","Oedogonium subdissimile","","L5"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481209","Group 097","REDUNDANT","Free-living","Oedogonium sp.","","L6"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481210","Group 110","IN TREE","Free-living","Oedogonium sp.","","L7"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481211","UNIQUE","IN TREE","Free-living","Oedogonium brevicingulatum","","M1"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481212","Group 097","IN TREE","Free-living","Oedocladium prescottii","","M2"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481213","Group 090","REDUNDANT","Free-living","Oedogonium sp.","","M3"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481214","Group 090","IN TREE","Free-living","Oedogonium pakistanense","","M5"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481215","UNIQUE","IN TREE","Free-living","Oedogonium sp.","","M8"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ481216","Group 109","REDUNDANT","Free-living","Bulbochaete sp.","","ACOI 552"," ","Mei","Unpublished"," ","rbcL","131021"
"DQ630521","UNIQUE","IN TREE","Free-living","Stigeoclonium helveticum","","UTEX 441"," ","Pombert","BMC Biol. 4, 3 (2006)","16472375","rbcL","131021"
"DQ813496","Group 044","IN TREE","Free-living","Ulva linza",""," "," ","Ying","Unpublished"," ","rbcL","131021"
"DQ813497","Group 044","REDUNDANT","Free-living","Ulva linza",""," "," ","Ying","Unpublished"," ","rbcL","131021"
